"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0182,-2.3963e-20,3.8409e-19,5.0765e-05,1.1022e-05,0.75485,1,2.856,2.856,0,0
1.0186,-2.3972e-20,3.8425e-19,4.9752e-05,1.1004e-05,0.75442,1,2.907,2.907,0,0
1.019,-2.3982e-20,3.844e-19,4.8738e-05,1.0986e-05,0.75399,1,2.958,2.958,0,0
1.0194,-2.3992e-20,3.8456e-19,4.775e-05,1.0969e-05,0.75357,1,3.009,3.009,0,0
1.0198,-2.4002e-20,3.8472e-19,4.6877e-05,1.0952e-05,0.75314,1,3.06,3.06,0,0
1.0203,-2.4012e-20,3.8488e-19,4.6004e-05,1.0936e-05,0.75271,1,3.111,3.111,0,0
1.0207,-2.4022e-20,3.8503e-19,4.5131e-05,1.0919e-05,0.75228,1,3.162,3.162,0,0
1.0211,-2.4032e-20,3.8519e-19,4.4287e-05,1.0903e-05,0.75185,1,3.213,3.213,0,0
1.0215,-2.4042e-20,3.8535e-19,4.3528e-05,1.0888e-05,0.75142,1,3.264,3.264,0,0
1.0219,-2.4051e-20,3.8551e-19,4.2769e-05,1.0873e-05,0.75099,1,3.315,3.315,0,0
1.0224,-2.4061e-20,3.8567e-19,4.201e-05,1.0858e-05,0.75056,1,3.366,3.366,0,0
1.0228,-2.4071e-20,3.8583e-19,4.1281e-05,1.0843e-05,0.75013,1,3.417,3.417,0,0
1.0232,-2.4081e-20,3.8599e-19,4.0613e-05,1.0828e-05,0.7497,1,3.468,3.468,0,0
1.0236,-2.4091e-20,3.8615e-19,3.9945e-05,1.0814e-05,0.74927,1,3.519,3.519,0,0
1.0241,-2.4101e-20,3.8631e-19,3.9277e-05,1.0799e-05,0.74884,1,3.57,3.57,0,0
1.0245,-2.4111e-20,3.8647e-19,3.8642e-05,1.0785e-05,0.7484,1,3.621,3.621,0,0
1.0249,-2.4121e-20,3.8663e-19,3.8054e-05,1.0772e-05,0.74797,1,3.672,3.672,0,0
1.0253,-2.4131e-20,3.8679e-19,3.7466e-05,1.0759e-05,0.74753,1,3.723,3.723,0,0
1.0258,-2.4141e-20,3.8695e-19,3.6877e-05,1.0746e-05,0.74709,1,3.774,3.774,0,0
1.0262,-2.4151e-20,3.8711e-19,3.6319e-05,1.0733e-05,0.74666,1,3.825,3.825,0,0
1.0266,-2.4162e-20,3.8728e-19,3.5792e-05,1.072e-05,0.74622,1,3.876,3.876,0,0
1.027,-2.4172e-20,3.8744e-19,3.5265e-05,1.0707e-05,0.74578,1,3.927,3.927,0,0
1.0275,-2.4182e-20,3.876e-19,3.4738e-05,1.0694e-05,0.74534,1,3.978,3.978,0,0
1.0279,-2.4192e-20,3.8776e-19,3.4244e-05,1.0682e-05,0.74489,1,4.029,4.029,0,0
1.0283,-2.4202e-20,3.8792e-19,3.3775e-05,1.0671e-05,0.74445,1,4.08,4.08,0,0
1.0288,-2.4212e-20,3.8809e-19,3.3306e-05,1.0659e-05,0.74401,1,4.131,4.131,0,0
1.0292,-2.4222e-20,3.8825e-19,3.2837e-05,1.0648e-05,0.74357,1,4.182,4.182,0,0
1.0296,-2.4232e-20,3.8841e-19,3.2397e-05,1.0636e-05,0.74312,1,4.233,4.233,0,0
1.0301,-2.4243e-20,3.8857e-19,3.1972e-05,1.0625e-05,0.74268,1,4.284,4.284,0,0
1.0305,-2.4253e-20,3.8874e-19,3.1546e-05,1.0613e-05,0.74223,1,4.335,4.335,0,0
1.0309,-2.4263e-20,3.889e-19,3.1121e-05,1.0601e-05,0.74179,1,4.386,4.386,0,0
1.0313,-2.4273e-20,3.8906e-19,3.0726e-05,1.059e-05,0.74134,1,4.437,4.437,0,0
1.0318,-2.4283e-20,3.8923e-19,3.0343e-05,1.058e-05,0.7409,1,4.488,4.488,0,0
1.0322,-2.4293e-20,3.8939e-19,2.996e-05,1.057e-05,0.74045,1,4.539,4.539,0,0
1.0326,-2.4303e-20,3.8955e-19,2.9577e-05,1.0559e-05,0.74,1,4.59,4.59,0,0
1.0331,-2.4314e-20,3.8972e-19,2.9221e-05,1.0549e-05,0.73956,1,4.641,4.641,0,0
1.0335,-2.4324e-20,3.8988e-19,2.8872e-05,1.0539e-05,0.73911,1,4.692,4.692,0,0
1.0339,-2.4334e-20,3.9004e-19,2.8523e-05,1.0528e-05,0.73866,1,4.743,4.743,0,0
1.0344,-2.4344e-20,3.9021e-19,2.8173e-05,1.0518e-05,0.73821,1,4.794,4.794,0,0
1.0348,-2.4355e-20,3.9037e-19,2.7851e-05,1.0508e-05,0.73777,1,4.845,4.845,0,0
1.0353,-2.4365e-20,3.9054e-19,2.7532e-05,1.0499e-05,0.73732,1,4.896,4.896,0,0
1.0357,-2.4375e-20,3.907e-19,2.7213e-05,1.0489e-05,0.73687,1,4.947,4.947,0,0
1.0361,-2.4385e-20,3.9086e-19,2.6894e-05,1.0479e-05,0.73642,1,4.998,4.998,0,0
1.0366,-2.4396e-20,3.9103e-19,2.6601e-05,1.047e-05,0.73597,1,5.049,5.049,0,0
1.037,-2.4406e-20,3.9119e-19,2.631e-05,1.0461e-05,0.73552,1,5.1,5.1,0,0
1.0374,-2.4416e-20,3.9135e-19,2.6018e-05,1.0452e-05,0.73507,1,5.151,5.151,0,0
1.0379,-2.4426e-20,3.9152e-19,2.5727e-05,1.0443e-05,0.73462,1,5.202,5.202,0,0
1.0383,-2.4436e-20,3.9168e-19,2.5458e-05,1.0434e-05,0.73417,1,5.253,5.253,0,0
