"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0484,2.0233e-14,3.1891e-16,0.0021584,0.0030591,0.91935,1,7.564,7.564,0,0
1.0493,2.0251e-14,3.1919e-16,0.0021421,0.0030522,0.91842,1,7.688,7.688,0,0
1.0503,2.0269e-14,3.1948e-16,0.0021259,0.0030452,0.91749,1,7.812,7.812,0,0
1.0512,2.0287e-14,3.1976e-16,0.0021096,0.0030371,0.91656,1,7.936,7.936,0,0
1.0521,2.0305e-14,3.2004e-16,0.0020934,0.003029,0.91563,1,8.06,8.06,0,0
1.053,2.0322e-14,3.2032e-16,0.0020773,0.0030206,0.91471,1,8.184,8.184,0,0
1.054,2.034e-14,3.206e-16,0.0020614,0.003012,0.91378,1,8.308,8.308,0,0
1.0549,2.0358e-14,3.2088e-16,0.0020455,0.003003,0.91286,1,8.432,8.432,0,0
1.0558,2.0376e-14,3.2116e-16,0.0020295,0.002993,0.91194,1,8.556,8.556,0,0
1.0567,2.0393e-14,3.2144e-16,0.0020136,0.002983,0.91103,1,8.68,8.68,0,0
1.0576,2.0411e-14,3.2172e-16,0.0019981,0.002973,0.9101,1,8.804,8.804,0,0
1.0586,2.0429e-14,3.22e-16,0.0019827,0.0029629,0.90918,1,8.928,8.928,0,0
1.0595,2.0447e-14,3.2228e-16,0.0019673,0.0029521,0.90825,1,9.052,9.052,0,0
1.0604,2.0464e-14,3.2256e-16,0.001952,0.0029404,0.90731,1,9.176,9.176,0,0
1.0613,2.0482e-14,3.2284e-16,0.0019366,0.0029287,0.90638,1,9.3,9.3,0,0
1.0622,2.05e-14,3.2312e-16,0.0019217,0.0029164,0.90545,1,9.424,9.424,0,0
1.0632,2.0517e-14,3.234e-16,0.0019067,0.0029041,0.90452,1,9.548,9.548,0,0
1.0641,2.0535e-14,3.2367e-16,0.0018919,0.0028909,0.90359,1,9.672,9.672,0,0
1.065,2.0553e-14,3.2395e-16,0.001877,0.0028771,0.90266,1,9.796,9.796,0,0
1.0659,2.057e-14,3.2423e-16,0.0018622,0.0028629,0.90173,1,9.92,9.92,0,0
1.0668,2.0588e-14,3.245e-16,0.0018474,0.0028472,0.90081,1,10.044,10.044,0,0
1.0677,2.0605e-14,3.2477e-16,0.0018326,0.0028315,0.89989,1,10.168,10.168,0,0
1.0686,2.0622e-14,3.2505e-16,0.0018181,0.0028155,0.89897,1,10.292,10.292,0,0
1.0695,2.064e-14,3.2532e-16,0.0018037,0.0027994,0.89805,1,10.416,10.416,0,0
1.0704,2.0657e-14,3.256e-16,0.0017893,0.0027825,0.89713,1,10.54,10.54,0,0
1.0713,2.0674e-14,3.2587e-16,0.0017747,0.002764,0.89622,1,10.664,10.664,0,0
1.0722,2.0692e-14,3.2614e-16,0.0017601,0.0027454,0.89531,1,10.788,10.788,0,0
1.0731,2.0709e-14,3.2641e-16,0.0017464,0.0027279,0.89441,1,10.912,10.912,0,0
1.0739,2.0726e-14,3.2668e-16,0.0017327,0.0027106,0.8935,1,11.036,11.036,0,0
1.0748,2.0743e-14,3.2694e-16,0.0017192,0.0026933,0.89261,1,11.16,11.16,0,0
1.0757,2.0759e-14,3.2721e-16,0.0017061,0.0026758,0.89171,1,11.284,11.284,0,0
1.0766,2.0776e-14,3.2747e-16,0.0016929,0.0026583,0.89082,1,11.408,11.408,0,0
1.0774,2.0793e-14,3.2774e-16,0.0016801,0.0026406,0.88993,1,11.532,11.532,0,0
1.0783,2.081e-14,3.28e-16,0.0016673,0.0026229,0.88904,1,11.656,11.656,0,0
1.0792,2.0826e-14,3.2826e-16,0.0016553,0.0026071,0.88816,1,11.78,11.78,0,0
1.08,2.0843e-14,3.2852e-16,0.0016437,0.0025924,0.88728,1,11.904,11.904,0,0
1.0809,2.0859e-14,3.2878e-16,0.0016321,0.0025774,0.8864,1,12.028,12.028,0,0
1.0817,2.0876e-14,3.2904e-16,0.0016206,0.0025617,0.88554,1,12.152,12.152,0,0
1.0826,2.0892e-14,3.293e-16,0.0016091,0.0025459,0.88467,1,12.276,12.276,0,0
1.0834,2.0908e-14,3.2955e-16,0.0015982,0.0025312,0.88382,1,12.4,12.4,0,0
1.0842,2.0924e-14,3.2981e-16,0.0015874,0.0025168,0.88298,1,12.524,12.524,0,0
1.0851,2.094e-14,3.3006e-16,0.0015771,0.0025032,0.88213,1,12.648,12.648,0,0
1.0859,2.0956e-14,3.3031e-16,0.0015675,0.002491,0.88129,1,12.772,12.772,0,0
1.0867,2.0972e-14,3.3056e-16,0.0015578,0.0024788,0.88045,1,12.896,12.896,0,0
1.0875,2.0988e-14,3.3081e-16,0.0015477,0.0024638,0.87961,1,13.02,13.02,0,0
1.0883,2.1003e-14,3.3105e-16,0.0015376,0.0024486,0.87877,1,13.144,13.144,0,0
1.0891,2.1019e-14,3.313e-16,0.0015275,0.0024329,0.87794,1,13.268,13.268,0,0
1.0899,2.1035e-14,3.3155e-16,0.0015174,0.0024168,0.87711,1,13.392,13.392,0,0
1.0907,2.105e-14,3.3179e-16,0.0015073,0.0024006,0.87628,1,13.516,13.516,0,0
