"U:0","U:1","U:2","k","nut","omega","p","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.036,1.9993e-14,3.1513e-16,0.0026777,0.0044948,0.59573,0.89793,0,1,5.828,5.828,0,0
1.0369,2.0011e-14,3.1541e-16,0.0026613,0.0044896,0.59277,0.89702,0,1,5.952,5.952,0,0
1.0379,2.0029e-14,3.157e-16,0.0026452,0.0044843,0.58987,0.89611,0,1,6.076,6.076,0,0
1.0388,2.0047e-14,3.1599e-16,0.0026293,0.0044791,0.58701,0.8952,0,1,6.2,6.2,0,0
1.0397,2.0066e-14,3.1627e-16,0.0026135,0.0044738,0.58418,0.89429,0,1,6.324,6.324,0,0
1.0407,2.0084e-14,3.1656e-16,0.0025982,0.0044685,0.58142,0.89337,0,1,6.448,6.448,0,0
1.0416,2.0102e-14,3.1685e-16,0.0025828,0.0044633,0.57867,0.89246,0,1,6.572,6.572,0,0
1.0426,2.012e-14,3.1713e-16,0.0025678,0.004458,0.576,0.89154,0,1,6.696,6.696,0,0
1.0435,2.0139e-14,3.1742e-16,0.002553,0.0044527,0.57335,0.89062,0,1,6.82,6.82,0,0
1.0445,2.0157e-14,3.1771e-16,0.0025383,0.0044474,0.57073,0.8897,0,1,6.944,6.944,0,0
1.0454,2.0175e-14,3.18e-16,0.0025239,0.0044421,0.56817,0.88877,0,1,7.068,7.068,0,0
1.0464,2.0194e-14,3.1829e-16,0.0025095,0.0044368,0.56561,0.88785,0,1,7.192,7.192,0,0
1.0473,2.0212e-14,3.1858e-16,0.0024956,0.0044315,0.56315,0.88693,0,1,7.316,7.316,0,0
1.0483,2.023e-14,3.1887e-16,0.0024817,0.0044261,0.56068,0.886,0,1,7.44,7.44,0,0
1.0492,2.0249e-14,3.1916e-16,0.002468,0.0044208,0.55827,0.88508,0,1,7.564,7.564,0,0
1.0502,2.0267e-14,3.1945e-16,0.0024545,0.0044155,0.55589,0.88415,0,1,7.688,7.688,0,0
1.0511,2.0286e-14,3.1974e-16,0.0024411,0.0044101,0.55353,0.88323,0,1,7.812,7.812,0,0
1.0521,2.0304e-14,3.2003e-16,0.0024281,0.0044047,0.55124,0.88231,0,1,7.936,7.936,0,0
1.053,2.0322e-14,3.2032e-16,0.002415,0.0043993,0.54895,0.88139,0,1,8.06,8.06,0,0
1.054,2.0341e-14,3.2061e-16,0.0024023,0.0043939,0.54672,0.88047,0,1,8.184,8.184,0,0
1.0549,2.0359e-14,3.2089e-16,0.0023897,0.0043885,0.54452,0.87955,0,1,8.308,8.308,0,0
1.0559,2.0377e-14,3.2118e-16,0.0023771,0.0043831,0.54233,0.87863,0,1,8.432,8.432,0,0
1.0568,2.0395e-14,3.2147e-16,0.0023649,0.0043776,0.54021,0.87772,0,1,8.556,8.556,0,0
1.0578,2.0413e-14,3.2175e-16,0.0023526,0.0043722,0.53809,0.8768,0,1,8.68,8.68,0,0
